ZCTA5CE10,AFFGEOID10,GEOID10,ALAND10,AWATER10,group
18420,8600000US18420,18420,726672,0,7
18105,8600000US18105,18105,19947,0,7
15072,8600000US15072,15072,176019,0,7
16253,8600000US16253,16253,547157,0,7
18427,8600000US18427,18427,1764320,18094,7
77630,8600000US77630,77630,234666383,33494941,7
77474,8600000US77474,77474,538766100,10076392,7
77535,8600000US77535,77535,813234450,8718182,7
78408,8600000US78408,78408,11505876,0,7
75143,8600000US75143,75143,460607595,63800192,7
77407,8600000US77407,77407,48792826,1836721,7
77401,8600000US77401,77401,9716177,1966,7
76484,8600000US76484,76484,275454131,3981681,7
75455,8600000US75455,75455,764661173,30009072,7
78147,8600000US78147,78147,8970501,76026,7
76525,8600000US76525,76525,496518046,170218,7
79744,8600000US79744,79744,1387166447,0,7
75137,8600000US75137,75137,15781664,15921,7
76373,8600000US76373,76373,75322550,60195,7
78636,8600000US78636,78636,905680601,7174467,7
23040,8600000US23040,23040,381632879,2523456,7
24558,8600000US24558,24558,243047401,2960359,7
75925,8600000US75925,75925,612775910,1803235,7
22035,8600000US22035,22035,438985,11821,7
23924,8600000US23924,23924,355897048,462724,7
84712,8600000US84712,84712,527331186,10677093,7
20151,8600000US20151,20151,40156381,347726,7
22303,8600000US22303,22303,3796550,113114,7
98288,8600000US98288,98288,547885223,10860387,7
98252,8600000US98252,98252,692239133,5334218,7
98050,8600000US98050,98050,8567888,797,7
26444,8600000US26444,26444,186840184,281843,7
26576,8600000US26576,26576,2265415,1619,7
25275,8600000US25275,25275,166877706,421604,7
26337,8600000US26337,26337,167692686,646224,7
26651,8600000US26651,26651,626825333,11698296,7
25810,8600000US25810,25810,6123846,104676,7
26218,8600000US26218,26218,171404699,0,7
84624,8600000US84624,84624,1268104679,2461966,7
84063,8600000US84063,84063,839944478,14838855,7
05748,8600000US05748,05748,98481526,278675,7
84759,8600000US84759,84759,1286612621,4300168,7
05447,8600000US05447,05447,790255,12424,7
82637,8600000US82637,82637,2489665009,5796808,7
98136,8600000US98136,98136,5954030,2163632,7
54441,8600000US54441,54441,2458255,0,7
53075,8600000US53075,53075,93906632,1580565,7
95514,8600000US95514,95514,224546103,561607,7
81252,8600000US81252,81252,1594800397,3108985,7
53726,8600000US53726,53726,1287129,0,7
05070,8600000US05070,05070,35445162,41227,7
25981,8600000US25981,25981,153113024,135593,7
32461,8600000US32461,32461,1524426,0,7
10153,8600000US10153,10153,12281,0,7
95634,8600000US95634,95634,210131554,196487,7
87539,8600000US87539,87539,201401337,21603,7
88020,8600000US88020,88020,3019376390,10126341,7
10154,8600000US10154,10154,12382,0,7
14854,8600000US14854,14854,58950,0,7
49864,8600000US49864,49864,12282463,0,7
58045,8600000US58045,58045,526775372,1068276,7
07607,8600000US07607,07607,3289355,3739,7
85610,8600000US85610,85610,1152408396,385430,7
93652,8600000US93652,93652,5346999,0,7
47382,8600000US47382,47382,402228,0,7
04450,8600000US04450,04450,43583367,0,7
42060,8600000US42060,42060,2179663,38502,7
66622,8600000US66622,66622,272639,0,7
04944,8600000US04944,04944,4163214,91413,7
98109,8600000US98109,98109,5178197,1091119,7
04762,8600000US04762,04762,102998139,239357,7
